id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,last5Points,last5PlayedSlots,last5AveragePoints,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg
2746,7,Patrik,Schick,29279552.0,103.0,28.0,28.0,23.0,130835.0,2889.0,0,4,https://kickbase.b-cdn.net/content/file/9f0daa3f23514ac7a72c46ba81396a95.png,14.0,1,98.0,,"[{""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 367}, {""hasPlayed"": true, ""points"": 227}, {""hasPlayed"": true, ""points"": 161}]",3,Patrik Schick,32242.0,"[42.0, 23.0, 367.0, 227.0, 161.0]",5,164.0,32242.0,31086.0,34557.0,253259.0,1373023.0
1686,15,Nico,Elvedi,17399452.0,106.0,33.0,33.0,33.0,194378.0,3508.0,0,2,https://kickbase.b-cdn.net/content/file/d31a5e1b135340b188caada5fa5b8b30.png,30.0,2,201.0,,"[{""hasPlayed"": true, ""points"": 298}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 77}, {""hasPlayed"": true, ""points"": 130}, {""hasPlayed"": true, ""points"": 133}]",4,Nico Elvedi,-590594.0,"[298.0, null, 77.0, 130.0, 133.0]",4,159.5,-590594.0,-684947.0,-464368.0,-1322999.0,1426367.0
1246,43,Willi,Orban,31081756.0,131.0,33.0,33.0,33.0,193712.0,4323.0,0,2,https://kickbase.b-cdn.net/content/file/bda722458bd445d5ba24094a5306031d.png,4.0,1,139.0,,"[{""hasPlayed"": true, ""points"": 110}, {""hasPlayed"": true, ""points"": 313}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": false, ""points"": null}]",2,Willi Orban,67534.0,"[110.0, 313.0, 82.0, 131.0, null]",4,159.0,67534.0,63147.0,61764.0,439668.0,1798893.0
6668,2,Kim,Minjae,9179929.0,124.0,25.0,25.0,19.0,106765.0,3112.0,0,2,https://kickbase.b-cdn.net/content/file/5c6879180be846a0be7608b367bb4100.png,3.0,2,339.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 173}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 148}, {""hasPlayed"": true, ""points"": 125}]",4,Kim Minjae,-195520.0,"[null, 173.0, 166.0, 148.0, 125.0]",4,153.0,-195520.0,-246093.0,-390054.0,-2335828.0,-1610964.0
1333,43,Lukas,Klostermann,2688694.0,40.0,5.0,5.0,1.0,7355.0,201.0,2,2,https://kickbase.b-cdn.net/content/file/b48aaa342d854e869af8b6c1ec17a954.png,16.0,2,74.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 148}]",5,Lukas Klostermann,-140949.0,"[null, null, null, null, 148.0]",1,148.0,-140949.0,-143072.0,-143532.0,-1037952.0,2157626.0
1815,14,Andrej,Kramarić,20087142.0,111.0,34.0,34.0,26.0,143136.0,3757.0,4,3,https://kickbase.b-cdn.net/content/file/cbbf900916ce4e759f7d917366e1515d.png,27.0,2,187.0,,"[{""hasPlayed"": true, ""points"": 4}, {""hasPlayed"": true, ""points"": 180}, {""hasPlayed"": true, ""points"": 245}, {""hasPlayed"": true, ""points"": 62}, {""hasPlayed"": true, ""points"": 239}]",4,Andrej Kramarić,-487714.0,"[4.0, 180.0, 245.0, 62.0, 239.0]",5,146.0,-487714.0,-483842.0,-466464.0,-3259882.0,-4239886.0
9683,40,Andrej,Ilic,7735564.0,69.0,32.0,32.0,24.0,151642.0,2204.0,2,4,https://kickbase.b-cdn.net/content/file/1a56a70bd0c1483894bc78d61bf30f46.png,23.0,2,284.0,,"[{""hasPlayed"": true, ""points"": 271}, {""hasPlayed"": true, ""points"": 255}, {""hasPlayed"": true, ""points"": 35}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 115}]",4,Andrej Ilic,-299072.0,"[271.0, 255.0, 35.0, 24.0, 115.0]",5,140.0,-299072.0,-300026.0,-333140.0,-1641919.0,1421453.0
3183,13,Anton,Kade,11437141.0,64.0,28.0,28.0,18.0,114106.0,1783.0,256,4,https://kickbase.b-cdn.net/content/file/5bef82c23f844966930669b63b5e6377.png,30.0,1,155.0,,"[{""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 306}, {""hasPlayed"": true, ""points"": 147}, {""hasPlayed"": true, ""points"": 72}]",1,Anton Kade,138630.0,"[53.0, 108.0, 306.0, 147.0, 72.0]",5,137.2,138630.0,150378.0,167673.0,1099296.0,5785887.0
3089,2,Hiroki,Ito,4605004.0,103.0,16.0,16.0,10.0,60821.0,1652.0,0,2,https://kickbase.b-cdn.net/content/file/da6a70c8cd1d413f9143de52e07a8ee7.png,21.0,2,358.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 145}, {""hasPlayed"": true, ""points"": 117}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 129}]",5,Hiroki Ito,-55148.0,"[null, 145.0, 117.0, 153.0, 129.0]",4,136.0,-55148.0,-71251.0,-72471.0,-904288.0,-3502599.0
2383,3,Nico,Schlotterbeck,28970210.0,148.0,28.0,28.0,28.0,166561.0,4142.0,1,2,https://kickbase.b-cdn.net/content/file/531ad1f9d6804b9db55d5aace6d79888.png,4.0,2,142.0,,"[{""hasPlayed"": true, ""points"": 142}, {""hasPlayed"": true, ""points"": 250}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 67}]",5,Nico Schlotterbeck,-664207.0,"[142.0, 250.0, 72.0, 146.0, 67.0]",5,135.4,-664207.0,-667761.0,-653551.0,-4679855.0,-6244306.0
2172,9,Chris,Führich,25347466.0,101.0,33.0,33.0,20.0,110946.0,3346.0,0,3,https://kickbase.b-cdn.net/content/file/58b49d98f88041f2861d70e0af0a69e5.png,10.0,1,132.0,,"[{""hasPlayed"": true, ""points"": 164}, {""hasPlayed"": true, ""points"": 99}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 122}]",2,Chris Führich,71607.0,"[164.0, 99.0, 198.0, 82.0, 122.0]",5,133.0,71607.0,62803.0,63075.0,715852.0,3478022.0
3072,2,Jonas,Urbig,9219556.0,114.0,14.0,14.0,11.0,73976.0,1591.0,0,1,https://kickbase.b-cdn.net/content/file/c0e433f099ae43b186eae925a0234c11.png,40.0,2,172.0,,"[{""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 187}, {""hasPlayed"": true, ""points"": 80}, {""hasPlayed"": true, ""points"": 204}, {""hasPlayed"": true, ""points"": 150}]",4,Jonas Urbig,-229497.0,"[41.0, 187.0, 80.0, 204.0, 150.0]",5,132.4,-229497.0,-240469.0,-413667.0,-2586199.0,-2504993.0
2897,43,Rocco,Reitz,12958162.0,74.0,31.0,31.0,31.0,170280.0,2301.0,0,3,https://kickbase.b-cdn.net/content/file/152dbd3a41f7408a89c99f65e55935df.png,20.0,2,177.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": true, ""points"": 210}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 75}]",3,Rocco Reitz,-49317.0,"[null, 131.0, 210.0, 100.0, 75.0]",4,129.0,-49317.0,-151051.0,-339543.0,-781683.0,2377477.0
1883,15,Moritz,Nicolas,19009783.0,111.0,34.0,34.0,34.0,200791.0,3766.0,0,1,https://kickbase.b-cdn.net/content/file/ef78be83f1204677ac7ba9f2c7a35c23.png,1.0,1,198.0,,"[{""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 151}, {""hasPlayed"": true, ""points"": 111}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 81}]",1,Moritz Nicolas,72684.0,"[135.0, 151.0, 111.0, 166.0, 81.0]",5,128.8,72684.0,63248.0,55917.0,498770.0,2602083.0
10789,2,Lennart,Karl,23721815.0,106.0,26.0,26.0,16.0,84581.0,2765.0,2,3,https://kickbase.b-cdn.net/content/file/70997dc609a7466ebc62a28327fcd5c0.png,42.0,2,116.0,,"[{""hasPlayed"": true, ""points"": 194}, {""hasPlayed"": true, ""points"": 57}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Lennart Karl,-337992.0,"[194.0, 57.0, null, null, null]",2,125.5,-337992.0,-314133.0,-374352.0,-2447455.0,-1630448.0
9746,9,Chema,Andrés,9213365.0,77.0,25.0,25.0,14.0,88001.0,1926.0,0,3,https://kickbase.b-cdn.net/content/file/df7418a408754f918c71251db745927f.png,30.0,2,209.0,,"[{""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 123}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 136}]",3,Chema Andrés,-285960.0,"[171.0, 123.0, null, 72.0, 136.0]",4,125.5,-285960.0,-191267.0,-26968.0,-124652.0,1523016.0
7745,14,Vladimír,Coufal,25481719.0,115.0,34.0,34.0,34.0,198844.0,3918.0,0,2,https://kickbase.b-cdn.net/content/file/63bd51c8d410447694f867a0c98d983d.png,34.0,1,153.0,,"[{""hasPlayed"": true, ""points"": 52}, {""hasPlayed"": true, ""points"": 235}, {""hasPlayed"": true, ""points"": 76}, {""hasPlayed"": true, ""points"": 152}, {""hasPlayed"": true, ""points"": 112}]",1,Vladimír Coufal,71002.0,"[52.0, 235.0, 76.0, 152.0, 112.0]",5,125.4,71002.0,66177.0,54445.0,653730.0,3578841.0
49,5,Matthias,Ginter,26502372.0,114.0,32.0,32.0,32.0,188048.0,3663.0,0,2,https://kickbase.b-cdn.net/content/file/e75f1bbb74d94ef7af63b5e586bb25ad.png,28.0,1,138.0,,"[{""hasPlayed"": true, ""points"": 243}, {""hasPlayed"": true, ""points"": 39}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 146}]",1,Matthias Ginter,46225.0,"[243.0, 39.0, 72.0, null, 146.0]",4,125.0,46225.0,46958.0,42795.0,281788.0,1385970.0
6081,4,Can,Uzun,27634306.0,106.0,21.0,21.0,15.0,76576.0,2232.0,0,3,https://kickbase.b-cdn.net/content/file/57ff676333514f5cbfe8036ee8243473.png,42.0,1,80.0,,"[{""hasPlayed"": true, ""points"": 31}, {""hasPlayed"": true, ""points"": 143}, {""hasPlayed"": true, ""points"": 218}, {""hasPlayed"": true, ""points"": 220}, {""hasPlayed"": true, ""points"": 9}]",2,Can Uzun,97702.0,"[31.0, 143.0, 218.0, 220.0, 9.0]",5,124.2,97702.0,99174.0,93630.0,668812.0,2089625.0
7673,14,Albian,Hajdari,17748506.0,97.0,30.0,30.0,28.0,160153.0,2924.0,0,2,https://kickbase.b-cdn.net/content/file/0f60a3cd21c94cc4913d13f811e532a9.png,21.0,1,164.0,,"[{""hasPlayed"": true, ""points"": -7}, {""hasPlayed"": true, ""points"": 245}, {""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 120}]",1,Albian Hajdari,174230.0,"[-7.0, 245.0, 81.0, 171.0, 120.0]",5,122.0,174230.0,164812.0,164976.0,1192880.0,4567085.0
1704,3,Waldemar,Anton,33790852.0,126.0,32.0,32.0,32.0,190794.0,4034.0,0,2,https://kickbase.b-cdn.net/content/file/b1a7f338e7c9453d93897bd6ac8c9457.png,3.0,1,119.0,,"[{""hasPlayed"": true, ""points"": 156}, {""hasPlayed"": true, ""points"": 123}, {""hasPlayed"": true, ""points"": 40}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 133}]",1,Waldemar Anton,59293.0,"[156.0, 123.0, 40.0, 153.0, 133.0]",5,121.0,59293.0,65784.0,62612.0,415347.0,1862984.0
2939,10,Eren Sami,Dinkçi,4007481.0,44.0,22.0,22.0,16.0,91259.0,965.0,2,3,https://kickbase.b-cdn.net/content/file/bf65d3defe874bebaafc37463c850975.png,0.0,1,240.0,,"[{""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 170}, {""hasPlayed"": true, ""points"": 203}, {""hasPlayed"": false, ""points"": null}]",4,Eren Sami Dinkçi,283647.0,"[23.0, 87.0, 170.0, 203.0, null]",4,120.75,283647.0,141261.0,10418.0,98426.0,923987.0
1920,3,Serhou,Guirassy,28960380.0,102.0,33.0,33.0,27.0,151810.0,3356.0,0,4,https://kickbase.b-cdn.net/content/file/fb2bd82aeb8440f8acdbcf6ebf4487dc.png,9.0,1,115.0,,"[{""hasPlayed"": true, ""points"": 155}, {""hasPlayed"": true, ""points"": 134}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": 187}, {""hasPlayed"": true, ""points"": 101}]",2,Serhou Guirassy,117105.0,"[155.0, 134.0, 26.0, 187.0, 101.0]",5,120.6,117105.0,114378.0,108306.0,774109.0,2824485.0
7158,9,Deniz,Undav,43988728.0,138.0,29.0,29.0,25.0,146045.0,4006.0,0,4,https://kickbase.b-cdn.net/content/file/ce96ede35441430c92ce3362f11f218c.png,26.0,1,91.0,,"[{""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": true, ""points"": 215}, {""hasPlayed"": true, ""points"": 62}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": false, ""points"": null}]",1,Deniz Undav,61252.0,"[131.0, 215.0, 62.0, 74.0, null]",4,120.5,61252.0,61390.0,58871.0,441324.0,2232314.0
4296,9,Dzenan,Pejcinovic,4633616.0,46.0,30.0,30.0,16.0,100110.0,1371.0,0,4,https://kickbase.b-cdn.net/content/file/69a98c6891964f7f86ea0118d83c5c54.png,17.0,1,295.0,0.0,"[{""hasPlayed"": true, ""points"": 223}, {""hasPlayed"": true, ""points"": 92}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 84}, {""hasPlayed"": true, ""points"": 134}]",3,Dzenan Pejcinovic,463219.0,"[223.0, 92.0, 63.0, 84.0, 134.0]",5,119.2,463219.0,444383.0,420863.0,1754554.0,1754554.0
