id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg
7745,14,Vladimír,Coufal,25950835.0,136.0,1.0,1.0,1.0,5806.0,136.0,0,2,https://kickbase.b-cdn.net/content/file/3b2c057d49604e74af1ea35ac7411a4a.png,34.0,1,5.0,,"[{""hasPlayed"": true, ""points"": 136}]",1,Vladimír Coufal,1333.0,1333.0,18660.0,29749.0,51366.0,2058042.0
7750,14,Robin,Hranác,3637052.0,44.0,1.0,1.0,0.0,2538.0,44.0,0,2,https://kickbase.b-cdn.net/content/file/378ad76b9745472cb56cc5de220ea9f9.png,2.0,1,12.0,,"[{""hasPlayed"": true, ""points"": 44}]",3,Robin Hranác,289153.0,289153.0,184499.0,77060.0,375061.0,-1455698.0
8289,14,Lúkas,Petersson,500000.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/e12887e5419f4c63a3e0c0b0213fb3cc.png,36.0,0,,,"[{""hasPlayed"": false, ""points"": null}]",5,Lúkas Petersson,0.0,0.0,0.0,0.0,0.0,0.0
9598,14,Valentin,Gendrey,2052575.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/963aa0e9a1bf4537bba171631d3ef595.png,15.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Valentin Gendrey,-104223.0,-104223.0,-121090.0,-136259.0,-907334.0,-1395252.0
9682,14,Arthur,Chaves,1228860.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/833cf51fd2394b6dbc29f93960eec13a.png,35.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Arthur Chaves,-77859.0,-77859.0,-95390.0,-121374.0,-696842.0,-3315320.0
11161,14,Koki,Machida,2681741.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/80f0a50727b54ea5a90a99a754cc7a6c.png,28.0,1,,,"[{""hasPlayed"": false, ""points"": null}]",5,Koki Machida,242122.0,242122.0,266882.0,294516.0,1672848.0,-1040963.0
11162,14,Leon,Avdullahu,16908390.0,75.0,1.0,1.0,1.0,5806.0,75.0,0,3,https://kickbase.b-cdn.net/content/file/805fdf4f3bec4018a1ff6bc85cc95546.png,7.0,2,4.0,,"[{""hasPlayed"": true, ""points"": 75}]",1,Leon Avdullahu,-102784.0,-102784.0,11266.0,49507.0,55219.0,3774634.0
11591,14,Cajetan,Lenz,1564100.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/2d15f1ede167438698d92ddc037e6abe.png,32.0,2,,,"[{""hasPlayed"": false, ""points"": null}]",5,Cajetan Lenz,-92510.0,-92510.0,-118368.0,-132987.0,-884880.0,-4657245.0
11631,14,Wouter,Burger,22847398.0,63.0,1.0,1.0,1.0,5806.0,63.0,0,3,https://kickbase.b-cdn.net/content/file/50a59d7c22f64565b2f31bba1dfae5bd.png,18.0,2,2.0,,"[{""hasPlayed"": true, ""points"": 63}]",1,Wouter Burger,-515481.0,-515481.0,-535113.0,-432202.0,-1521546.0,2029532.0
11959,14,Adam,Daghim,9661959.0,163.0,1.0,1.0,1.0,5293.0,163.0,0,4,https://kickbase.b-cdn.net/content/file/1919dcbd4fb6447aad155fb3c72f3e38.png,14.0,1,16.0,,"[{""hasPlayed"": true, ""points"": 163}]",2,Adam Daghim,266121.0,266121.0,289115.0,331490.0,1381480.0,9161959.0
