team,team_id,season_label,season_id,matchday_at_capture,capture_timestamp,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOppositionHalfPassesPercentage,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accurateOwnHalfPassesPercentage,accuratePasses,accuratePassesAgainst,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,assists,averageBallPossession,avgRating,avgRatingVersion,ballRecovery,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,blockedScoringAttempt,blockedScoringAttemptAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,defensiveContributions,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,duelsWonPercentage,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,expectedAssists,expectedGoals,expectedGoalsOnTarget,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,freeKicks,goalKicks,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,goalsScored,groundDuelsWon,groundDuelsWonPercentage,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPasses,keyPassesAgainst,kilometersCovered,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,numberOfSprints,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,throwIns,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,touches,yellowCards,yellowCardsAgainst,yellowRedCards
Eintracht Frankfurt,2674,current_season,97464,2,2026-09-04T08:44:23+00:00,3,18.75,71,19,47.5,154,113,68.444444444444,145,132,86.309523809524,299,245,76.081424936387,29,56.862745098039,1,51.0,6.73,2.0,48,4,3,2,3,1,1,5,6,0,50,41,0,2,5,10,27,78.0,20,8,2,62,54.867256637168,0,2,0,1,1.3337,1.4663,1.7518,0,3,3,10,0,0,10,2,3,2,1,0.4649,3,33,53.225806451613,0,0,0,10,12,8.0,17,106.02,0,0,15,63,1,79,2,2,197,0,164,0,0,0,0,162,0,0,3,8,12,19,6,7,15,5,4,4,3,3,10,10,13,19,32,51,16,113,129,62,40,225,168,393,361,653.0,4,2,0
1. FSV Mainz 05,2556,previous_season,77333,2,2026-09-04T08:44:24+00:00,173,25.366568914956,3035,570,42.632759910247,4930,6689,67.16621253406,4596,6920,87.293447293447,9526,13609,75.573185243951,699,48.744769874477,26,43.970588235294,6.7865497076023,,1623,109,99,78,76,72,65,114,129,4,1037,1209,6,172,156,151,617,,388,464,215,1725,49.145299145299,6,6,14,13,,,,5,27,31,374,0,6,326,268,53,43,1,,44,1026,49.421965317919,8,20,16,352,288,,371,3696.67,6,7,818,1881,34,5676,79,48,8959,2,7716,2,9,8,2,4927,5,1,29,116,411,480,129,313,340,98,140,155,179,142,172,185,522,486,725,1434,682,3510,4513,2076,1337,7340,5265,12605,16675,,69,67,1
1. FSV Mainz 05,2556,current_season,97464,2,2026-09-04T08:44:25+00:00,13,33.333333333333,55,19,59.375,225,137,76.530612244898,160,249,95.808383233533,385,386,83.51409978308,19,46.341463414634,0,51.0,7.94,2.0,44,2,1,2,1,2,1,6,4,1,28,53,0,11,2,2,15,59.0,9,6,3,47,49.473684210526,0,0,0,0,2.28005,1.2311,0.6952,0,1,1,8,0,0,9,6,0,0,0,0.0,0,28,51.851851851852,0,1,0,12,14,14.0,8,102.4,0,0,28,51,1,87,1,1,184,0,278,0,0,0,0,140,0,0,0,0,21,10,4,14,6,7,4,11,6,4,0,4,16,15,19,41,39,95,77,54,32,294,167,461,462,688.0,1,2,0
SC Paderborn 07,2561,current_season,97464,2,2026-09-04T08:44:27+00:00,2,13.333333333333,128,19,55.882352941176,137,225,74.45652173913,249,160,89.568345323741,386,385,83.549783549784,22,53.658536585366,0,49.0,7.8,2.0,43,1,2,1,2,1,2,4,6,1,53,28,0,2,11,13,39,88.0,6,9,4,48,50.526315789474,0,0,0,0,1.15844,0.732,0.0,0,0,0,10,0,1,8,11,0,0,0,0.6952,0,26,48.148148148148,0,0,1,14,12,8.0,14,101.45,0,0,24,42,1,70,1,1,294,0,167,0,0,0,0,121,0,0,0,4,10,21,6,6,14,4,7,6,11,0,4,3,15,16,15,41,15,95,180,54,34,184,278,462,461,668.0,2,1,0
RB Leipzig,36360,previous_season,77333,2,2026-09-04T08:44:28+00:00,157,27.592267135325,2533,581,48.823529411765,6967,5412,78.581096323032,7522,6405,91.330743079165,14489,11817,84.721085253187,463,48.634453781513,48,53.882352941176,6.9487077534791,,1731,124,90,96,78,85,56,144,116,11,908,939,5,180,147,130,560,,718,444,208,1679,50.37503750375,6,11,21,19,,,,5,39,44,315,1,11,335,249,47,54,10,,66,1216,51.070978580428,9,23,10,294,307,,317,3599.82,12,25,801,1779,34,6076,48,74,7475,1,7102,3,3,1,2,4519,0,0,30,84,537,413,117,384,287,153,126,189,162,204,135,374,514,666,625,952,569,3333,3809,2381,1190,8866,8236,17102,14577,,52,59,0
RB Leipzig,36360,current_season,97464,2,2026-09-04T08:44:29+00:00,8,53.333333333333,67,23,52.272727272727,160,147,75.471698113208,198,264,92.093023255814,358,411,83.84074941452,7,50.0,3,47.0,8.46,2.0,47,6,2,4,2,4,2,4,6,1,32,20,0,7,6,6,21,59.0,23,12,3,41,50.617283950617,0,1,1,0,2.00584,3.9577,3.8313,0,1,1,10,0,1,13,10,0,3,0,0.6613,3,34,50.746268656716,0,1,1,8,4,17.0,12,98.22,0,1,19,46,1,139,0,5,190,0,285,0,0,0,0,120,0,0,2,4,25,15,6,19,10,6,5,10,5,11,4,8,13,20,21,14,15,81,91,67,44,212,215,427,475,650.0,1,0,0
Borussia M'gladbach,2527,previous_season,77333,2,2026-09-04T08:44:30+00:00,124,23.709369024857,3758,489,44.535519125683,5178,8025,74.225917431193,7197,6926,89.270652443562,12375,14951,82.291528128741,508,51.73116089613,28,46.705882352941,6.7961315280464,,1653,61,77,40,60,33,47,103,117,13,1057,782,2,128,166,154,612,,411,499,239,1591,50.395945517897,3,7,16,14,,,,6,24,28,367,1,4,356,254,53,37,3,,42,1083,49.793103448276,7,11,14,322,268,,377,3595.49,3,11,683,1578,34,5319,64,63,10059,2,7541,5,7,4,5,4273,3,2,22,136,395,483,117,262,302,133,181,151,177,141,189,170,561,510,599,982,523,3157,5141,2175,1098,6976,8062,15038,17600,,60,77,0
Borussia M'gladbach,2527,current_season,97464,2,2026-09-04T08:44:31+00:00,6,28.571428571429,79,13,40.625,147,160,77.368421052632,264,198,92.631578947368,411,358,86.526315789474,7,50.0,0,53.0,6.74,2.0,52,2,6,2,4,2,4,6,4,0,20,32,0,6,7,8,15,47.0,12,23,8,40,49.382716049383,1,0,0,1,0.965823,1.088,0.6613,0,0,0,13,0,0,10,7,3,0,0,0.8313,0,33,49.253731343284,0,1,1,4,8,12.0,17,103.86,0,0,27,53,1,121,5,0,212,0,215,0,0,0,0,117,0,0,0,8,15,25,4,10,19,5,6,5,10,4,11,3,20,13,16,14,21,81,111,67,32,190,285,475,427,672.0,0,1,0
SV 07 Elversberg,2598,current_season,97464,2,2026-09-04T08:44:34+00:00,3,25.0,150,5,25.0,72,287,54.135338345865,140,224,87.5,212,511,72.354948805461,11,50.0,2,33.0,6.88,2.0,49,2,6,2,4,1,4,2,4,0,32,14,0,4,3,11,38,58.0,12,11,5,42,47.727272727273,0,2,0,0,0.656143,1.2711,2.182,0,4,4,18,0,0,15,19,2,2,1,0.0128,3,31,46.969696969697,0,0,2,11,11,7.0,17,103.99,0,3,14,39,1,94,1,1,344,0,238,0,0,0,0,126,0,0,0,2,11,21,4,8,13,3,8,3,13,6,4,5,12,13,17,22,12,88,191,66,20,133,160,293,582,476.0,3,2,0
Bayer 04 Leverkusen,2681,previous_season,77333,2,2026-09-04T08:44:35+00:00,148,24.104234527687,2950,660,54.771784232365,9626,5729,84.646500175871,8526,5790,92.543145555194,18152,11519,88.180714112218,437,53.227771010962,49,59.176470588235,6.9533460803059,,1685,125,86,91,62,77,53,130,102,8,727,853,5,190,140,136,542,,530,385,172,1504,52.005532503458,7,12,24,20,,,,13,53,65,292,3,21,358,247,47,58,9,,68,1067,51.521004345727,13,15,12,251,335,,335,3597.29,11,29,721,1652,34,5194,43,35,7539,1,6429,7,8,7,7,4057,2,5,25,120,516,435,103,333,283,183,152,210,163,176,170,237,478,558,573,821,614,2892,4098,2071,1205,11372,9213,20585,13968,,68,84,2
