id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,name,marketChangeToday,last5Points,last5PlayedSlots,last5AveragePoints
2783,7,Edmond,Tapsoba,31829100.0,136.0,29.0,29.0,29.0,171644.0,3941.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2783.png,12.0,1,123.0,,"[{""hasPlayed"": true, ""points"": 111}, {""hasPlayed"": true, ""points"": 6}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 93}, {""hasPlayed"": true, ""points"": 194}]",Edmond Tapsoba,76634.0,"[111.0, 6.0, 135.0, 93.0, 194.0]",5,107.8
11631,14,Wouter,Burger,21841128.0,114.0,30.0,30.0,30.0,159518.0,3425.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/11631.png,18.0,1,156.0,,"[{""hasPlayed"": true, ""points"": 65}, {""hasPlayed"": true, ""points"": 206}, {""hasPlayed"": true, ""points"": 105}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 85}]",Wouter Burger,169316.0,"[65.0, 206.0, 105.0, 72.0, 85.0]",5,106.6
3304,5,Igor,Matanović,17000839.0,68.0,31.0,31.0,14.0,106505.0,2099.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/3304.png,31.0,1,123.0,,"[{""hasPlayed"": true, ""points"": 265}, {""hasPlayed"": true, ""points"": 207}, {""hasPlayed"": true, ""points"": 17}, {""hasPlayed"": true, ""points"": 5}, {""hasPlayed"": true, ""points"": 37}]",Igor Matanović,172306.0,"[265.0, 207.0, 17.0, 5.0, 37.0]",5,106.2
2714,3,Maximilian,Beier,25659669.0,94.0,32.0,32.0,24.0,132156.0,3023.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/2714.png,14.0,1,117.0,,"[{""hasPlayed"": true, ""points"": 52}, {""hasPlayed"": true, ""points"": 207}, {""hasPlayed"": true, ""points"": 17}, {""hasPlayed"": true, ""points"": 241}, {""hasPlayed"": true, ""points"": 13}]",Maximilian Beier,67096.0,"[52.0, 207.0, 17.0, 241.0, 13.0]",5,106.0
2232,18,Philipp,Mwene,8030355.0,49.0,29.0,29.0,24.0,136771.0,1428.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2232.png,2.0,1,177.0,,"[{""hasPlayed"": true, ""points"": 181}, {""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 233}, {""hasPlayed"": true, ""points"": 16}, {""hasPlayed"": true, ""points"": 57}]",Philipp Mwene,193088.0,"[181.0, 41.0, 233.0, 16.0, 57.0]",5,105.6
2766,7,Exequiel,Palacios,22456926.0,93.0,18.0,18.0,12.0,73391.0,1672.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/2766.png,25.0,1,74.0,,"[{""hasPlayed"": true, ""points"": 174}, {""hasPlayed"": true, ""points"": 28}, {""hasPlayed"": true, ""points"": 109}, {""hasPlayed"": true, ""points"": 91}, {""hasPlayed"": true, ""points"": 125}]",Exequiel Palacios,100400.0,"[174.0, 28.0, 109.0, 91.0, 125.0]",5,105.4
9605,6,Albert,Grønbæk,10539234.0,74.0,7.0,7.0,6.0,31737.0,520.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/9605.png,23.0,1,49.0,,"[{""hasPlayed"": true, ""points"": 39}, {""hasPlayed"": true, ""points"": 158}, {""hasPlayed"": true, ""points"": 266}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 28}]",Albert Grønbæk,77350.0,"[39.0, 158.0, 266.0, 30.0, 28.0]",5,104.2
2897,43,Rocco,Reitz,13739845.0,74.0,31.0,31.0,31.0,170280.0,2301.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/2897.png,20.0,1,167.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": true, ""points"": 210}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 75}]",Rocco Reitz,87233.0,"[0.0, 131.0, 210.0, 100.0, 75.0]",4,103.2
7269,7,Nathan,Tella,8791032.0,68.0,17.0,17.0,10.0,56629.0,1149.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/7269.png,23.0,2,130.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 277}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 83}]",Nathan Tella,-315107.0,"[0.0, 0.0, 277.0, 153.0, 83.0]",3,102.6
3481,10,Jens,Stage,18099425.0,100.0,29.0,29.0,29.0,160601.0,2895.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/3481.png,6.0,1,159.0,,"[{""hasPlayed"": true, ""points"": 48}, {""hasPlayed"": true, ""points"": 12}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 157}, {""hasPlayed"": true, ""points"": 265}]",Jens Stage,153214.0,"[48.0, 12.0, 30.0, 157.0, 265.0]",5,102.4
2373,14,Ozan,Kabak,20174780.0,105.0,25.0,25.0,18.0,117698.0,2629.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2373.png,5.0,1,130.0,,"[{""hasPlayed"": true, ""points"": 29}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 34}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 150}]",Ozan Kabak,180613.0,"[29.0, 198.0, 34.0, 100.0, 150.0]",5,102.2
2646,18,Sheraldo,Becker,12282196.0,76.0,14.0,14.0,11.0,61084.0,1065.0,0,4,https://kickbase.b-cdn.net/pool/playersbig/2646.png,23.0,1,86.0,,"[{""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 114}, {""hasPlayed"": true, ""points"": 120}, {""hasPlayed"": true, ""points"": 136}, {""hasPlayed"": true, ""points"": 20}]",Sheraldo Becker,155679.0,"[115.0, 114.0, 120.0, 136.0, 20.0]",5,101.0
9746,9,Chema,Andrés,9338017.0,77.0,25.0,25.0,14.0,88001.0,1926.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/9746.png,30.0,1,206.0,,"[{""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 123}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 136}]",Chema Andrés,154537.0,"[171.0, 123.0, 0.0, 72.0, 136.0]",4,100.4
2804,2,Jamal,Musiala,34841892.0,98.0,15.0,15.0,7.0,45579.0,1476.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/2804.png,10.0,1,42.0,,"[{""hasPlayed"": true, ""points"": 36}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 125}]",Jamal Musiala,71333.0,"[36.0, 100.0, 42.0, 198.0, 125.0]",5,100.2
49,5,Matthias,Ginter,26220584.0,114.0,32.0,32.0,32.0,188048.0,3663.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/49.png,28.0,1,139.0,,"[{""hasPlayed"": true, ""points"": 243}, {""hasPlayed"": true, ""points"": 39}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 146}]",Matthias Ginter,53023.0,"[243.0, 39.0, 72.0, 0.0, 146.0]",4,100.0
