team,team_id,season_id,shirt_number,player_name,player_id,position,age,nationalities,contract_until,market_value,market_value_eur,player_url,market_value_percentile_within_team
Bayer Leverkusen,15,2026,24.0,Aleix García,261504,Central Midfield,29,Spain,30/06/2029,€20.00m,20000000.0,https://www.transfermarkt.com/aleix-garcia/profil/spieler/261504,66.13
Bayer Leverkusen,15,2026,17.0,Eliesse Ben Seghir,810895,Left Winger,21,Morocco|France,30/06/2030,€20.00m,20000000.0,https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895,66.13
Bayer Leverkusen,15,2026,6.0,Equi Fernández,664708,Defensive Midfield,24,Argentina|Paraguay,30/06/2030,€20.00m,20000000.0,https://www.transfermarkt.com/equi-fernandez/profil/spieler/664708,66.13
Bayer Leverkusen,15,2026,18.0,Kennet Eichhorn,1214123,Defensive Midfield,17,Germany,30/06/2031,€20.00m,20000000.0,https://www.transfermarkt.com/kennet-eichhorn/profil/spieler/1214123,66.13
Bayer Leverkusen,15,2026,5.0,Loïc Badé,730581,Centre-Back,26,France|Cote d'Ivoire,30/06/2030,€20.00m,20000000.0,https://www.transfermarkt.com/loic-bade/profil/spieler/730581,66.13
Bayer Leverkusen,15,2026,2.0,Facundo Medina,474800,Centre-Back,27,Argentina,30/06/2031,€18.00m,18000000.0,https://www.transfermarkt.com/facundo-medina/profil/spieler/474800,53.23
Bayer Leverkusen,15,2026,14.0,Patrik Schick,242086,Centre-Forward,30,Czech Republic,30/06/2030,€18.00m,18000000.0,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086,53.23
Bayer Leverkusen,15,2026,42.0,Montrell Culbreath,1058514,Right Winger,18,Germany|United States,30/06/2031,€15.00m,15000000.0,https://www.transfermarkt.com/montrell-culbreath/profil/spieler/1058514,46.77
Bayer Leverkusen,15,2026,23.0,Nathan Tella,340322,Right Winger,27,Nigeria|England,30/06/2031,€15.00m,15000000.0,https://www.transfermarkt.com/nathan-tella/profil/spieler/340322,46.77
Bayer Leverkusen,15,2026,44.0,Jeanuël Belocian,919515,Centre-Back,21,France|Guadeloupe,30/06/2029,€12.00m,12000000.0,https://www.transfermarkt.com/jeanuel-belocian/profil/spieler/919515,41.94
Bayer Leverkusen,15,2026,13.0,Arthur,977464,Right-Back,23,Brazil,30/06/2031,€8.00m,8000000.0,https://www.transfermarkt.com/arthur/profil/spieler/977464,35.48
Bayer Leverkusen,15,2026,16.0,Axel Tape,1077670,Centre-Back,19,France|Cote d'Ivoire,30/06/2030,€8.00m,8000000.0,https://www.transfermarkt.com/axel-tape/profil/spieler/1077670,35.48
Bayer Leverkusen,15,2026,11.0,Martin Terrier,442891,Left Winger,29,France,30/06/2029,€8.00m,8000000.0,https://www.transfermarkt.com/martin-terrier/profil/spieler/442891,35.48
Bayer Leverkusen,15,2026,1.0,Mark Flekken,125714,Goalkeeper,33,Netherlands,30/06/2028,€6.00m,6000000.0,https://www.transfermarkt.com/mark-flekken/profil/spieler/125714,27.42
Bayer Leverkusen,15,2026,8.0,Robert Andrich,159088,Defensive Midfield,31,Germany,30/06/2028,€6.00m,6000000.0,https://www.transfermarkt.com/robert-andrich/profil/spieler/159088,27.42
