id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
3072,2,Jonas,Urbig,9219556.0,114.0,14.0,14.0,11.0,73976.0,1591.0,0,1,https://kickbase.b-cdn.net/content/file/c0e433f099ae43b186eae925a0234c11.png,40.0,2,172.0,,"[{""hasPlayed"": true, ""points"": 41}, {""hasPlayed"": true, ""points"": 187}, {""hasPlayed"": true, ""points"": 80}, {""hasPlayed"": true, ""points"": 204}, {""hasPlayed"": true, ""points"": 150}]",4,Jonas Urbig,-229497.0,-229497.0,-240469.0,-413667.0,-2586199.0,-2504993.0,7.28,2.382104545335327,0.0,0.0,0.0,0.0,0.0
3089,2,Hiroki,Ito,4605004.0,103.0,16.0,16.0,10.0,60821.0,1652.0,0,2,https://kickbase.b-cdn.net/content/file/da6a70c8cd1d413f9143de52e07a8ee7.png,21.0,2,358.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 145}, {""hasPlayed"": true, ""points"": 117}, {""hasPlayed"": true, ""points"": 153}, {""hasPlayed"": true, ""points"": 129}]",5,Hiroki Ito,-55148.0,-55148.0,-71251.0,-72471.0,-904288.0,-3502599.0,6.85,2.382104545335327,0.0,0.0,0.0,0.0,0.0
3120,2,Tom,Bischof,22168089.0,118.0,26.0,26.0,14.0,88493.0,3077.0,0,3,https://kickbase.b-cdn.net/content/file/f25237e8f3a640479c355850b4139da6.png,8.0,1,138.0,,"[{""hasPlayed"": true, ""points"": 268}, {""hasPlayed"": true, ""points"": 228}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Tom Bischof,153621.0,153621.0,141854.0,115777.0,915510.0,3526137.0,8.0,2.382104545335327,0.6666666666666666,0.0,0.0,0.4666666666666666,8.89319
3176,2,Arijon,Ibrahimović,4288983.0,57.0,32.0,32.0,25.0,140654.0,1838.0,0,3,https://kickbase.b-cdn.net/content/file/f6128e01598c4fc99e4475770cee5ee4.png,0.0,2,428.0,,"[{""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 264}, {""hasPlayed"": true, ""points"": 114}, {""hasPlayed"": true, ""points"": 29}, {""hasPlayed"": true, ""points"": 62}]",5,Arijon Ibrahimović,-81864.0,-81864.0,-68625.0,-82463.0,-1020757.0,-285028.0,0.0,2.382104545335327,0.0,0.0,0.0,0.0,0.0
3543,2,Nathaniel,Brown,28772607.0,83.0,33.0,33.0,29.0,176484.0,2726.0,0,2,https://kickbase.b-cdn.net/content/file/a6bbeb9411db465cb0b0b5dac3fd61a4.png,0.0,1,94.0,,"[{""hasPlayed"": true, ""points"": 70}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": 38}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 31}]",3,Nathaniel Brown,72140.0,72140.0,81734.0,59489.0,457950.0,2081901.0,6.54,2.382104545335327,1.0,1.0,0.0,1.0,15.578964
6080,2,Aleksandar,Pavlović,31871006.0,119.0,24.0,24.0,16.0,98316.0,2844.0,0,3,https://kickbase.b-cdn.net/content/file/edb0e886b6a545f1b564cd3d24c6e4b3.png,45.0,1,89.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": false, ""points"": null}]",1,Aleksandar Pavlović,91672.0,91672.0,93308.0,84783.0,627423.0,2597917.0,6.5,2.382104545335327,1.0,1.0,0.0,1.0,15.48368
6668,2,Kim,Minjae,9179929.0,124.0,25.0,25.0,19.0,106765.0,3112.0,0,2,https://kickbase.b-cdn.net/content/file/5c6879180be846a0be7608b367bb4100.png,3.0,2,339.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 173}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 148}, {""hasPlayed"": true, ""points"": 125}]",4,Kim Minjae,-195520.0,-195520.0,-246093.0,-390054.0,-2335828.0,-1610964.0,7.15,2.382104545335327,0.6666666666666666,0.0,0.0,0.4666666666666666,7.948289
7226,2,Harry,Kane,68674466.0,216.0,31.0,31.0,25.0,158399.0,6703.0,0,4,https://kickbase.b-cdn.net/content/file/5f6dd618010f4c54a4039708d3ed0a0a.png,9.0,1,97.0,,"[{""hasPlayed"": true, ""points"": 415}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 163}]",1,Harry Kane,26167.0,26167.0,24472.0,26425.0,191063.0,926413.0,7.42,2.382104545335327,1.0,1.0,0.0,1.0,17.675216
7498,2,Sacha,Boey,2198689.0,70.0,9.0,9.0,5.0,30468.0,628.0,0,2,https://kickbase.b-cdn.net/content/file/8b2dd6f9c82142b3a8f588b86defc822.png,0.0,1,285.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Sacha Boey,358482.0,358482.0,336551.0,289789.0,1698689.0,596716.0,0.0,2.382104545335327,0.0,0.0,0.0,0.0,0.0
8329,2,Michael,Olise,64621231.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/content/file/42c4a07d3d9a4dd0a7a4d68a1e5b5fee.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",1,Michael Olise,33005.0,33005.0,34321.0,35915.0,239891.0,1079005.0,8.34,2.382104545335327,1.0,1.0,0.0,1.0,19.866752
10789,2,Lennart,Karl,23721815.0,106.0,26.0,26.0,16.0,84581.0,2765.0,2,3,https://kickbase.b-cdn.net/content/file/70997dc609a7466ebc62a28327fcd5c0.png,42.0,2,116.0,,"[{""hasPlayed"": true, ""points"": 194}, {""hasPlayed"": true, ""points"": 57}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Lennart Karl,-337992.0,-337992.0,-314133.0,-374352.0,-2447455.0,-1630448.0,6.95,2.382104545335327,0.0,0.0,0.0,0.0,0.0
11675,2,Luis,Díaz,53334606.0,178.0,32.0,32.0,27.0,163321.0,5698.0,0,4,https://kickbase.b-cdn.net/content/file/8be4ef70fac349c3920923d1d22c624f.png,14.0,1,106.0,,"[{""hasPlayed"": true, ""points"": 205}, {""hasPlayed"": true, ""points"": 50}, {""hasPlayed"": true, ""points"": 54}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 225}]",1,Luis Díaz,34292.0,34292.0,36000.0,34525.0,248223.0,1048240.0,6.88,2.382104545335327,1.0,1.0,0.0,1.0,16.388879
12314,2,Bara Sapoko,Ndiaye,2893316.0,49.0,4.0,4.0,2.0,9482.0,194.0,0,3,https://kickbase.b-cdn.net/content/file/ce28a9c385074d738233c35d9b4490dc.png,0.0,2,67.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 21}, {""hasPlayed"": true, ""points"": 102}, {""hasPlayed"": true, ""points"": 23}]",5,Bara Sapoko Ndiaye,-98554.0,-98554.0,-98413.0,-103994.0,-764172.0,-764172.0,6.6,2.382104545335327,0.0,0.0,0.0,0.0,0.0
14251,2,Ismael,Saibari,29819831.0,,,,,,,0,4,https://kickbase.b-cdn.net/content/file/cdc8e6f2d14547ab82c1d0e310da39b2.png,34.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Ismael Saibari,71285.0,71285.0,76651.0,63265.0,483188.0,2234422.0,0.0,2.382104545335327,0.0,0.0,0.0,0.0,0.0
15502,2,Tim,Binder,1924739.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/a885375aa4f84815973e7f256289d997.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Tim Binder,406022.0,406022.0,392465.0,626252.0,1424739.0,1924739.0,0.0,2.382104545335327,0.0,0.0,0.0,0.0,0.0
1664,9,Maximilian,Mittelstädt,27529977.0,123.0,32.0,32.0,24.0,142785.0,3927.0,0,2,https://kickbase.b-cdn.net/content/file/b8cb80b921914e60885e8e9429df9518.png,7.0,2,142.0,,"[{""hasPlayed"": true, ""points"": 66}, {""hasPlayed"": true, ""points"": 206}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 28}]",3,Maximilian Mittelstädt,-323951.0,-323951.0,-311545.0,-322175.0,-1343740.0,-132567.0,7.08,0.4763291106040339,1.0,1.0,0.0,1.0,3.37241
1671,9,Grischa,Prömel,12217537.0,76.0,33.0,33.0,16.0,118467.0,2495.0,0,3,https://kickbase.b-cdn.net/content/file/9d953a0bc5fd432db7c0da4605a6726e.png,21.0,1,204.0,,"[{""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 37}]",3,Grischa Prömel,123926.0,123926.0,98067.0,69113.0,449239.0,1535229.0,6.47,0.4763291106040339,1.0,1.0,0.0,1.0,3.081849
2068,9,Dan-Axel,Zagadou,3631358.0,141.0,3.0,3.0,3.0,13672.0,424.0,1,2,https://kickbase.b-cdn.net/content/file/2f2eb673a0224e1cb305b8cc042cf931.png,23.0,2,116.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": false, ""points"": null}]",5,Dan-Axel Zagadou,-146203.0,-146203.0,-150965.0,-146576.0,-1080484.0,-3245671.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
2120,9,Nikolas,Nartey,7637993.0,73.0,28.0,28.0,14.0,83295.0,2041.0,0,3,https://kickbase.b-cdn.net/content/file/7dcfaa141b6a4adba66ad4729afb0f1e.png,28.0,1,267.0,,"[{""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 165}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 10}, {""hasPlayed"": false, ""points"": null}]",3,Nikolas Nartey,293972.0,293972.0,295081.0,265484.0,1501060.0,528501.0,7.75,0.4763291106040339,0.6666666666666666,0.0,0.0,0.4666666666666666,1.722724
2172,9,Chris,Führich,25347466.0,101.0,33.0,33.0,20.0,110946.0,3346.0,0,3,https://kickbase.b-cdn.net/content/file/58b49d98f88041f2861d70e0af0a69e5.png,10.0,1,132.0,,"[{""hasPlayed"": true, ""points"": 164}, {""hasPlayed"": true, ""points"": 99}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 122}]",2,Chris Führich,71607.0,71607.0,62803.0,63075.0,715852.0,3478022.0,7.38,0.4763291106040339,1.0,1.0,0.0,1.0,3.515309
2199,9,Josha,Vagnoman,4316419.0,61.0,27.0,27.0,18.0,105456.0,1638.0,0,2,https://kickbase.b-cdn.net/content/file/fde909d2a7f54d248d93bc1df1c53072.png,4.0,2,379.0,,"[{""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 18}, {""hasPlayed"": true, ""points"": 3}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 28}]",4,Josha Vagnoman,-84856.0,-84856.0,-94558.0,-91164.0,-643475.0,-2954327.0,5.98,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
2214,9,Atakan,Karazor,7518238.0,65.0,28.0,28.0,22.0,122492.0,1817.0,0,3,https://kickbase.b-cdn.net/content/file/11ef3f2e23eb41769d708b861ff23fa6.png,16.0,2,241.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -27}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 126}]",3,Atakan Karazor,-272026.0,-272026.0,-246659.0,-250762.0,-1666423.0,-2087750.0,6.95,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
2237,9,Fabian,Bredlow,8844594.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/e12be05595f3430f8e286ff6f4d9d103.png,1.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Fabian Bredlow,303961.0,303961.0,274703.0,291540.0,1997493.0,8344594.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
2445,9,Marius,Funk,4780015.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/1569b2236e4a4a8f862740b2c2ad8a12.png,33.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Marius Funk,164956.0,164956.0,184796.0,203692.0,1555647.0,4280015.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
2694,9,Angelo,Stiller,36932625.0,119.0,34.0,34.0,30.0,180374.0,4054.0,0,3,https://kickbase.b-cdn.net/content/file/7810bc5805c94de984743e33da7c044c.png,6.0,1,109.0,,"[{""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 141}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 112}, {""hasPlayed"": true, ""points"": 33}]",1,Angelo Stiller,45738.0,45738.0,42758.0,36140.0,325661.0,1507090.0,7.3,0.4763291106040339,1.0,1.0,0.0,1.0,3.477203
2854,9,Ermedin,Demirović,22590885.0,90.0,25.0,25.0,17.0,98446.0,2254.0,0,4,https://kickbase.b-cdn.net/content/file/b48829b887d04fe9afd4fbe51f04a3ea.png,9.0,2,99.0,,"[{""hasPlayed"": true, ""points"": 8}, {""hasPlayed"": true, ""points"": 206}, {""hasPlayed"": true, ""points"": 119}, {""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 4}]",3,Ermedin Demirović,-341432.0,-341432.0,-314917.0,-404492.0,-2630831.0,-1894135.0,7.1,0.4763291106040339,0.48,0.0,0.0,0.33599999999999997,1.136331
2988,9,Jamie,Leweling,27088772.0,103.0,32.0,32.0,26.0,153640.0,3282.0,0,3,https://kickbase.b-cdn.net/content/file/f1ba50c544bd40d9ae5a68fbc1ee8cbd.png,18.0,1,121.0,,"[{""hasPlayed"": true, ""points"": 76}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 22}, {""hasPlayed"": true, ""points"": 40}]",2,Jamie Leweling,45038.0,45038.0,41547.0,40568.0,196055.0,1383773.0,6.88,0.4763291106040339,1.0,1.0,0.0,1.0,3.277144
3190,9,Jeff,Chabot,25724278.0,113.0,27.0,27.0,26.0,150716.0,3061.0,0,2,https://kickbase.b-cdn.net/content/file/2aa1e27ad0dd4e83b94ff2e16dfbdddc.png,24.0,2,118.0,,"[{""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 130}, {""hasPlayed"": true, ""points"": 59}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 86}]",2,Jeff Chabot,-58151.0,-58151.0,-5100.0,7399.0,70850.0,913268.0,7.03,0.4763291106040339,0.0,1.0,0.0,0.3,1.004578
3193,9,,Tiago Tomás,4571074.0,59.0,27.0,27.0,10.0,69578.0,1606.0,0,4,https://kickbase.b-cdn.net/content/file/0e9c45eed595406784ebef4f6c9d7a72.png,8.0,2,351.0,,"[{""hasPlayed"": true, ""points"": 2}, {""hasPlayed"": true, ""points"": 19}, {""hasPlayed"": true, ""points"": 88}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": -6}]",3,Tiago Tomás,-35497.0,-35497.0,-47633.0,-54168.0,-691517.0,-2179527.0,6.54,0.4763291106040339,0.12,0.0,0.0,0.08399999999999999,0.261676
4296,9,Dzenan,Pejcinovic,4633616.0,46.0,30.0,30.0,16.0,100110.0,1371.0,0,4,https://kickbase.b-cdn.net/content/file/69a98c6891964f7f86ea0118d83c5c54.png,17.0,1,295.0,0.0,"[{""hasPlayed"": true, ""points"": 223}, {""hasPlayed"": true, ""points"": 92}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 84}, {""hasPlayed"": true, ""points"": 134}]",3,Dzenan Pejcinovic,463219.0,463219.0,444383.0,420863.0,1754554.0,1754554.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
4589,9,Justin,Diehl,500000.0,,,,,,,1,4,https://kickbase.b-cdn.net/content/file/55cabd9c41b9497290c1b7dbf24ef5f2.png,31.0,0,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Justin Diehl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
6085,9,Dennis,Seimen,5778154.0,,,,,,,1,1,https://kickbase.b-cdn.net/content/file/67a4b3e69dd04fa3953823a78c223e13.png,41.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Dennis Seimen,-227546.0,-227546.0,-227687.0,-252209.0,-1717570.0,-5963946.0,8.35,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
6171,9,Jovan,Milosevic,4627950.0,31.0,13.0,13.0,5.0,33794.0,398.0,256,4,https://kickbase.b-cdn.net/content/file/67c437a3a4754053b2ebfe5707d65c5d.png,19.0,2,85.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -21}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 23}]",5,Jovan Milosevic,-161529.0,-161529.0,-191300.0,-529783.0,-625837.0,3978999.0,6.37,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
7158,9,Deniz,Undav,43988728.0,138.0,29.0,29.0,25.0,146045.0,4006.0,0,4,https://kickbase.b-cdn.net/content/file/ce96ede35441430c92ce3362f11f218c.png,26.0,1,91.0,,"[{""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": true, ""points"": 215}, {""hasPlayed"": true, ""points"": 62}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": false, ""points"": null}]",1,Deniz Undav,61252.0,61252.0,61390.0,58871.0,441324.0,2232314.0,6.88,0.4763291106040339,1.0,1.0,0.0,1.0,3.277144
7257,9,Leonidas,Stergiou,4418516.0,29.0,6.0,6.0,1.0,14245.0,174.0,0,2,https://kickbase.b-cdn.net/content/file/e0ff60fb10b147f78246449a86397e4f.png,20.0,2,39.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 32}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Leonidas Stergiou,-182351.0,-182351.0,-579156.0,-324449.0,-508040.0,3918516.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
7349,9,Finn,Jeltsch,13122006.0,72.0,23.0,23.0,17.0,100377.0,1665.0,0,2,https://kickbase.b-cdn.net/content/file/cd9f13da05844d2f8faf04022c539aea.png,29.0,1,126.0,,"[{""hasPlayed"": true, ""points"": -1}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -45}]",1,Finn Jeltsch,208418.0,208418.0,201995.0,178006.0,1193909.0,2713217.0,6.0,0.4763291106040339,1.0,1.0,0.0,1.0,2.857975
7781,9,Leo,Sauer,5262028.0,,,,,,,4,3,https://kickbase.b-cdn.net/content/file/5565612c65d34958967660743ead48bb.png,44.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Leo Sauer,-343088.0,-343088.0,-351687.0,-354983.0,-2572460.0,5262028.0,0.0,0.4763291106040339,0.0,0.0,0.0,0.0,0.0
