id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,marketChange.today,marketChange.yesterday,marketChange.twoDays,marketChange.sevenDaysAvg,marketChange.thirtyDaysAvg,sofascore_average_rating,expected_match_points,ligainsider_starting_chance,kickbase_starting_chance,rotowire_starting_chance,questionable_injury_penalty,starting_chance,score
7277,4,Farès,Chaïbi,8448380.0,83.0,28.0,28.0,21.0,118583.0,2334.0,0,3,https://kickbase.b-cdn.net/content/file/774d9ee4bd994b9dae8672fbf45215fe.png,8.0,2,276.0,,"[{""hasPlayed"": true, ""points"": 52}, {""hasPlayed"": true, ""points"": 11}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": 1}, {""hasPlayed"": true, ""points"": 58}]",4,Farès Chaïbi,-240516.0,-240516.0,-233250.0,-249127.0,-1943087.0,-3361617.0,7.35,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
7325,4,Elias,Baum,10918557.0,6.0,5.0,5.0,0.0,6016.0,32.0,0,2,https://kickbase.b-cdn.net/content/file/0f3d607126284679ac5bc7ee81f890ad.png,2.0,1,2.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -10}]",2,Elias Baum,162356.0,162356.0,149343.0,171530.0,1421493.0,6567338.0,6.35,1.3500197083169097,1.0,1.0,1.0,0.0,1.0,8.572625
7417,4,Noël,Aséko,7107414.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/4c3b212857824d74bed5f3922ab26e64.png,0.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Noël Aséko,-297591.0,-297591.0,-279424.0,-283477.0,-2150675.0,2112287.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
7491,4,Jean-Mattéo,Bahoya,6683645.0,64.0,27.0,27.0,15.0,89358.0,1718.0,0,4,https://kickbase.b-cdn.net/content/file/614b33d836c4436cb6893df7d4d3f574.png,19.0,2,257.0,,"[{""hasPlayed"": true, ""points"": 12}, {""hasPlayed"": true, ""points"": 37}, {""hasPlayed"": true, ""points"": 12}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Jean-Mattéo Bahoya,-293443.0,-293443.0,-277075.0,-274194.0,-2049130.0,-2878017.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
8057,4,Arthur,Theate,11593530.0,93.0,24.0,24.0,24.0,142350.0,2226.0,0,2,https://kickbase.b-cdn.net/content/file/fef437b4b9d74534a6448e9a47b3b86b.png,3.0,2,192.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 67}]",5,Arthur Theate,-505291.0,-505291.0,-84069.0,-69291.0,-1922078.0,-1522900.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
8351,4,Oscar,Højlund,3917007.0,32.0,24.0,24.0,12.0,72520.0,772.0,0,3,https://kickbase.b-cdn.net/content/file/9f25f3c48efd47488db3f0fea31226bc.png,6.0,1,197.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -1}, {""hasPlayed"": true, ""points"": 79}, {""hasPlayed"": true, ""points"": 32}]",3,Oscar Højlund,250007.0,250007.0,187652.0,63754.0,323482.0,-842432.0,0.0,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
10004,4,Younes,Ebnoutalib,11018897.0,25.0,5.0,5.0,2.0,10174.0,126.0,0,4,https://kickbase.b-cdn.net/content/file/0a607bef8a9448cabbf3308c90e0dc6f.png,11.0,1,11.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -2}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Younes Ebnoutalib,148865.0,148865.0,124241.0,129536.0,910294.0,1488168.0,6.25,1.3500197083169097,1.0,0.6896551724137931,1.0,0.0,0.8836206896551724,7.455658
12284,4,Keita,Kosugi,8516777.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/4626c41eb1dd44d5b36bfde09dc9f229.png,26.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Keita Kosugi,334908.0,334908.0,325430.0,310409.0,2061502.0,8016777.0,6.95,1.3500197083169097,0.8316008316008316,0.6896551724137931,1.0,0.0,0.7994211054555882,7.500678
12285,4,Love,Arrhov,3418621.0,14.0,5.0,5.0,1.0,5265.0,70.0,0,3,https://kickbase.b-cdn.net/content/file/02ec19133f8a43768226917be968f9f8.png,31.0,2,20.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 19}, {""hasPlayed"": false, ""points"": null}]",5,Love Arrhov,-150511.0,-150511.0,-151757.0,-149829.0,-1045862.0,2275544.0,6.4,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
12294,4,Ayoube,Amaimouni,3640409.0,40.0,17.0,17.0,6.0,40230.0,679.0,0,3,https://kickbase.b-cdn.net/content/file/5f68ec42f258435a8233881431dc3c75.png,29.0,2,186.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 1}, {""hasPlayed"": true, ""points"": -6}, {""hasPlayed"": true, ""points"": 44}, {""hasPlayed"": true, ""points"": 79}]",3,Ayoube Amaimouni,16495.0,16495.0,-88255.0,-108772.0,-608946.0,-740629.0,6.35,1.3500197083169097,0.36511156186612576,0.0,0.0,0.0,0.18255578093306288,1.564982
14920,4,Malik,Pimpong,3881980.0,,,,,,,0,4,https://kickbase.b-cdn.net/content/file/0800fc3bf36841cbb6450f1a83cf8ee3.png,35.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Malik Pimpong,-128168.0,-128168.0,-130170.0,-126117.0,-894317.0,-164125.0,6.4,1.3500197083169097,0.0,0.0,0.0,0.0,0.0,0.0
15589,4,,Otávio,8679954.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/29d28defc06541cdb2d6e020dc443ca1.png,5.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Otávio,300724.0,300724.0,245541.0,262261.0,1908858.0,8679954.0,7.4,1.3500197083169097,1.0,0.0,1.0,0.0,0.625,6.243841
16369,4,Raphael,Onyedika,14469302.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/4413ed18fac54a58a6e94d858ea72074.png,25.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",1,Raphael Onyedika,189282.0,189282.0,194329.0,209788.0,1454634.0,14469302.0,7.7,1.3500197083169097,1.0,1.0,1.0,0.0,1.0,10.395152
60,18,Dominik,Kohr,10186895.0,71.0,29.0,29.0,28.0,153973.0,2070.0,0,2,https://kickbase.b-cdn.net/content/file/fc6cb9d67771484baa8cd7547280f6cd.png,31.0,1,203.0,,"[{""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 17}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 148}, {""hasPlayed"": true, ""points"": 112}]",2,Dominik Kohr,228965.0,228965.0,251629.0,227467.0,1482254.0,3816467.0,8.8,1.956353749284488,1.0,1.0,1.0,0.0,1.0,17.215913
550,18,Stefan,Bell,1932280.0,73.0,18.0,18.0,13.0,69705.0,1313.0,0,2,https://kickbase.b-cdn.net/content/file/b5f9d86fa6414225acae1ed532dfb2e7.png,16.0,2,679.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Stefan Bell,-104138.0,-104138.0,-107913.0,-107250.0,-775181.0,-2025040.0,0.0,1.956353749284488,0.0,0.0,0.0,0.0,0.0,0.0
620,18,Alexander,Schwolow,5817322.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/0e74f4dedbdf4ce0bdb4ad38262422a0.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Alexander Schwolow,-33875.0,-33875.0,119600.0,198074.0,1433624.0,5317322.0,0.0,1.956353749284488,0.0,0.0,0.0,0.0,0.0,0.0
