id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,startProbability,name,marketChangeToday,score
6080,2,Aleksandar,Pavlović,31779334.0,119.0,24.0,24.0,16.0,98316.0,2844.0,0,3,https://kickbase.b-cdn.net/content/file/edb0e886b6a545f1b564cd3d24c6e4b3.png,45.0,1,89.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": false, ""points"": null}]",1,Aleksandar Pavlović,93308.0,90000000
6668,2,Kim,Minjae,9375449.0,124.0,25.0,25.0,19.0,106765.0,3112.0,2,2,https://kickbase.b-cdn.net/content/file/5c6879180be846a0be7608b367bb4100.png,3.0,2,331.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 173}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 148}, {""hasPlayed"": true, ""points"": 125}]",4,Kim Minjae,-246093.0,20000000
7226,2,Harry,Kane,68648299.0,216.0,31.0,31.0,25.0,158399.0,6703.0,0,4,https://kickbase.b-cdn.net/content/file/5f6dd618010f4c54a4039708d3ed0a0a.png,9.0,1,97.0,,"[{""hasPlayed"": true, ""points"": 415}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 163}]",1,Harry Kane,24472.0,60000000
7498,2,Sacha,Boey,1840207.0,70.0,9.0,9.0,5.0,30468.0,628.0,0,2,https://kickbase.b-cdn.net/content/file/8b2dd6f9c82142b3a8f588b86defc822.png,0.0,1,341.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Sacha Boey,336551.0,10000000
8329,2,Michael,Olise,64588226.0,225.0,32.0,32.0,23.0,154488.0,7185.0,0,3,https://kickbase.b-cdn.net/content/file/42c4a07d3d9a4dd0a7a4d68a1e5b5fee.png,17.0,1,111.0,,"[{""hasPlayed"": true, ""points"": 81}, {""hasPlayed"": true, ""points"": 334}, {""hasPlayed"": true, ""points"": 290}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 152}]",1,Michael Olise,34321.0,170000000
10789,2,Lennart,Karl,24059807.0,106.0,26.0,26.0,16.0,84581.0,2765.0,2,3,https://kickbase.b-cdn.net/content/file/70997dc609a7466ebc62a28327fcd5c0.png,42.0,2,114.0,,"[{""hasPlayed"": true, ""points"": 194}, {""hasPlayed"": true, ""points"": 57}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Lennart Karl,-314133.0,60000000
11675,2,Luis,Díaz,53300314.0,178.0,32.0,32.0,27.0,163321.0,5698.0,0,4,https://kickbase.b-cdn.net/content/file/8be4ef70fac349c3920923d1d22c624f.png,14.0,1,106.0,,"[{""hasPlayed"": true, ""points"": 205}, {""hasPlayed"": true, ""points"": 50}, {""hasPlayed"": true, ""points"": 54}, {""hasPlayed"": true, ""points"": 30}, {""hasPlayed"": true, ""points"": 225}]",1,Luis Díaz,36000.0,70000000
12314,2,Bara Sapoko,Ndiaye,2991870.0,49.0,4.0,4.0,2.0,9482.0,194.0,0,3,https://kickbase.b-cdn.net/content/file/ce28a9c385074d738233c35d9b4490dc.png,0.0,2,64.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 21}, {""hasPlayed"": true, ""points"": 102}, {""hasPlayed"": true, ""points"": 23}]",5,Bara Sapoko Ndiaye,-98413.0,4000000
14251,2,Ismael,Saibari,29748546.0,,,,,,,0,4,https://kickbase.b-cdn.net/content/file/cdc8e6f2d14547ab82c1d0e310da39b2.png,34.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Ismael Saibari,76651.0,55000000
15502,2,Tim,Binder,1518717.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/a885375aa4f84815973e7f256289d997.png,0.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Tim Binder,392465.0,0
1664,9,Maximilian,Mittelstädt,27853928.0,123.0,32.0,32.0,24.0,142785.0,3927.0,0,2,https://kickbase.b-cdn.net/content/file/b8cb80b921914e60885e8e9429df9518.png,7.0,2,140.0,,"[{""hasPlayed"": true, ""points"": 66}, {""hasPlayed"": true, ""points"": 206}, {""hasPlayed"": true, ""points"": 43}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 28}]",3,Maximilian Mittelstädt,-311545.0,18000000
1671,9,Grischa,Prömel,12093611.0,76.0,33.0,33.0,16.0,118467.0,2495.0,0,3,https://kickbase.b-cdn.net/content/file/9d953a0bc5fd432db7c0da4605a6726e.png,21.0,1,206.0,,"[{""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 24}, {""hasPlayed"": true, ""points"": 37}]",3,Grischa Prömel,98067.0,3500000
2068,9,Dan-Axel,Zagadou,3777561.0,141.0,3.0,3.0,3.0,13672.0,424.0,1,2,https://kickbase.b-cdn.net/content/file/2f2eb673a0224e1cb305b8cc042cf931.png,23.0,2,112.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": false, ""points"": null}]",5,Dan-Axel Zagadou,-150965.0,2000000
2120,9,Nikolas,Nartey,7344021.0,73.0,28.0,28.0,14.0,83295.0,2041.0,0,3,https://kickbase.b-cdn.net/content/file/7dcfaa141b6a4adba66ad4729afb0f1e.png,28.0,1,277.0,,"[{""hasPlayed"": true, ""points"": 150}, {""hasPlayed"": true, ""points"": 165}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 10}, {""hasPlayed"": false, ""points"": null}]",3,Nikolas Nartey,295081.0,10000000
2172,9,Chris,Führich,25275859.0,101.0,33.0,33.0,20.0,110946.0,3346.0,0,3,https://kickbase.b-cdn.net/content/file/58b49d98f88041f2861d70e0af0a69e5.png,10.0,1,132.0,,"[{""hasPlayed"": true, ""points"": 164}, {""hasPlayed"": true, ""points"": 99}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 122}]",2,Chris Führich,62803.0,12000000
2199,9,Josha,Vagnoman,4401275.0,61.0,27.0,27.0,18.0,105456.0,1638.0,0,2,https://kickbase.b-cdn.net/content/file/fde909d2a7f54d248d93bc1df1c53072.png,4.0,2,372.0,,"[{""hasPlayed"": true, ""points"": 7}, {""hasPlayed"": true, ""points"": 18}, {""hasPlayed"": true, ""points"": 3}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 28}]",4,Josha Vagnoman,-94558.0,10000000
2214,9,Atakan,Karazor,7790264.0,65.0,28.0,28.0,22.0,122492.0,1817.0,0,3,https://kickbase.b-cdn.net/content/file/11ef3f2e23eb41769d708b861ff23fa6.png,16.0,2,233.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -27}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 126}]",3,Atakan Karazor,-246659.0,8000000
2237,9,Fabian,Bredlow,8540633.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/e12be05595f3430f8e286ff6f4d9d103.png,1.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",2,Fabian Bredlow,274703.0,700000
2445,9,Marius,Funk,4615059.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/1569b2236e4a4a8f862740b2c2ad8a12.png,33.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Marius Funk,184796.0,300000
2694,9,Angelo,Stiller,36886887.0,119.0,34.0,34.0,30.0,180374.0,4054.0,0,3,https://kickbase.b-cdn.net/content/file/7810bc5805c94de984743e33da7c044c.png,6.0,1,109.0,,"[{""hasPlayed"": true, ""points"": 108}, {""hasPlayed"": true, ""points"": 141}, {""hasPlayed"": true, ""points"": 87}, {""hasPlayed"": true, ""points"": 112}, {""hasPlayed"": true, ""points"": 33}]",1,Angelo Stiller,42758.0,45000000
2854,9,Ermedin,Demirović,22932317.0,90.0,25.0,25.0,17.0,98446.0,2254.0,0,4,https://kickbase.b-cdn.net/content/file/b48829b887d04fe9afd4fbe51f04a3ea.png,9.0,2,98.0,,"[{""hasPlayed"": true, ""points"": 8}, {""hasPlayed"": true, ""points"": 206}, {""hasPlayed"": true, ""points"": 119}, {""hasPlayed"": true, ""points"": 115}, {""hasPlayed"": true, ""points"": 4}]",3,Ermedin Demirović,-314917.0,22000000
2988,9,Jamie,Leweling,27043734.0,103.0,32.0,32.0,26.0,153640.0,3282.0,0,3,https://kickbase.b-cdn.net/content/file/f1ba50c544bd40d9ae5a68fbc1ee8cbd.png,18.0,1,121.0,,"[{""hasPlayed"": true, ""points"": 76}, {""hasPlayed"": true, ""points"": 166}, {""hasPlayed"": true, ""points"": 121}, {""hasPlayed"": true, ""points"": 22}, {""hasPlayed"": true, ""points"": 40}]",2,Jamie Leweling,41547.0,40000000
3190,9,Jeff,Chabot,25782429.0,113.0,27.0,27.0,26.0,150716.0,3061.0,0,2,https://kickbase.b-cdn.net/content/file/2aa1e27ad0dd4e83b94ff2e16dfbdddc.png,24.0,1,118.0,,"[{""hasPlayed"": true, ""points"": 82}, {""hasPlayed"": true, ""points"": 130}, {""hasPlayed"": true, ""points"": 59}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 86}]",2,Jeff Chabot,-5100.0,15000000
3193,9,,Tiago Tomás,4606571.0,59.0,27.0,27.0,10.0,69578.0,1606.0,0,4,https://kickbase.b-cdn.net/content/file/0e9c45eed595406784ebef4f6c9d7a72.png,8.0,2,348.0,,"[{""hasPlayed"": true, ""points"": 2}, {""hasPlayed"": true, ""points"": 19}, {""hasPlayed"": true, ""points"": 88}, {""hasPlayed"": true, ""points"": 26}, {""hasPlayed"": true, ""points"": -6}]",3,Tiago Tomás,-47633.0,15000000
4296,9,Dzenan,Pejcinovic,4170397.0,46.0,30.0,30.0,16.0,100110.0,1371.0,0,4,https://kickbase.b-cdn.net/content/file/69a98c6891964f7f86ea0118d83c5c54.png,17.0,1,328.0,0.0,"[{""hasPlayed"": true, ""points"": 223}, {""hasPlayed"": true, ""points"": 92}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 84}, {""hasPlayed"": true, ""points"": 134}]",3,Dzenan Pejcinovic,444383.0,15000000
4589,9,Justin,Diehl,500000.0,,,,,,,1,4,https://kickbase.b-cdn.net/content/file/55cabd9c41b9497290c1b7dbf24ef5f2.png,31.0,0,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Justin Diehl,0.0,1200000
6085,9,Dennis,Seimen,6005700.0,,,,,,,1,1,https://kickbase.b-cdn.net/content/file/67a4b3e69dd04fa3953823a78c223e13.png,41.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Dennis Seimen,-227687.0,10000000
6171,9,Jovan,Milosevic,4789479.0,31.0,13.0,13.0,5.0,33794.0,398.0,0,4,https://kickbase.b-cdn.net/content/file/67c437a3a4754053b2ebfe5707d65c5d.png,19.0,2,83.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -21}, {""hasPlayed"": true, ""points"": 23}, {""hasPlayed"": true, ""points"": 23}]",5,Jovan Milosevic,-191300.0,7000000
7158,9,Deniz,Undav,43927476.0,138.0,29.0,29.0,25.0,146045.0,4006.0,0,4,https://kickbase.b-cdn.net/content/file/ce96ede35441430c92ce3362f11f218c.png,26.0,1,91.0,,"[{""hasPlayed"": true, ""points"": 131}, {""hasPlayed"": true, ""points"": 215}, {""hasPlayed"": true, ""points"": 62}, {""hasPlayed"": true, ""points"": 74}, {""hasPlayed"": false, ""points"": null}]",1,Deniz Undav,61390.0,22000000
7257,9,Leonidas,Stergiou,4600867.0,29.0,6.0,6.0,1.0,14245.0,174.0,0,2,https://kickbase.b-cdn.net/content/file/e0ff60fb10b147f78246449a86397e4f.png,20.0,2,37.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 32}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Leonidas Stergiou,-579156.0,2500000
7349,9,Finn,Jeltsch,12913588.0,72.0,23.0,23.0,17.0,100377.0,1665.0,0,2,https://kickbase.b-cdn.net/content/file/cd9f13da05844d2f8faf04022c539aea.png,29.0,1,128.0,,"[{""hasPlayed"": true, ""points"": -1}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": -45}]",1,Finn Jeltsch,201995.0,35000000
7781,9,Leo,Sauer,5605116.0,,,,,,,4,3,https://kickbase.b-cdn.net/content/file/5565612c65d34958967660743ead48bb.png,44.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Leo Sauer,-351687.0,7000000
8247,9,Ramon,Hendriks,12606945.0,66.0,31.0,31.0,22.0,135100.0,2040.0,0,2,https://kickbase.b-cdn.net/content/file/d84f6e79416d43549ec3b7c2cbc87b87.png,3.0,1,161.0,,"[{""hasPlayed"": true, ""points"": 66}, {""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": true, ""points"": 98}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 43}]",2,Ramon Hendriks,156986.0,25000000
9615,9,Ameen,Al Dakhil,3491274.0,52.0,8.0,8.0,3.0,26229.0,414.0,0,2,https://kickbase.b-cdn.net/content/file/878bf81b707a44a7a9d1b0db14915947.png,2.0,2,118.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",4,Ameen Al Dakhil,-139207.0,3000000
9746,9,Chema,Andrés,9499325.0,77.0,25.0,25.0,14.0,88001.0,1926.0,0,3,https://kickbase.b-cdn.net/content/file/df7418a408754f918c71251db745927f.png,30.0,2,202.0,,"[{""hasPlayed"": true, ""points"": 171}, {""hasPlayed"": true, ""points"": 123}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 136}]",3,Chema Andrés,-191267.0,20000000
10112,9,Luca,Jaquez,4310719.0,83.0,14.0,14.0,10.0,58596.0,1161.0,2,2,https://kickbase.b-cdn.net/content/file/3930823f7eb246aab32d7075bf65943d.png,14.0,2,269.0,,"[{""hasPlayed"": true, ""points"": 20}, {""hasPlayed"": true, ""points"": 32}, {""hasPlayed"": true, ""points"": 68}, {""hasPlayed"": true, ""points"": 101}, {""hasPlayed"": true, ""points"": 29}]",4,Luca Jaquez,-118554.0,10000000
11043,9,Lorenz,Assignon,1154166.0,48.0,24.0,24.0,12.0,72816.0,1141.0,4,2,https://kickbase.b-cdn.net/content/file/0725364d90ff49f4a767200f52debe5f.png,22.0,1,988.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 18}, {""hasPlayed"": true, ""points"": 20}, {""hasPlayed"": true, ""points"": 85}, {""hasPlayed"": false, ""points"": null}]",5,Lorenz Assignon,306177.0,9000000
11258,9,Lazar,Jovanovic,5844821.0,10.0,3.0,3.0,0.0,3386.0,29.0,0,3,https://kickbase.b-cdn.net/content/file/fe20cf505b4f4572b0780b9e81982c43.png,45.0,1,4.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Lazar Jovanovic,199117.0,3500000
11947,9,Badredine,Bouanani,1555557.0,39.0,14.0,14.0,5.0,31973.0,540.0,0,3,https://kickbase.b-cdn.net/content/file/7cf21cd343ba41458c1739f3cb6b51d3.png,27.0,2,347.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 15}, {""hasPlayed"": true, ""points"": 22}]",4,Badredine Bouanani,-66999.0,10000000
11955,9,Bilal,El Khannouss,24264301.0,109.0,25.0,25.0,19.0,106302.0,2713.0,0,3,https://kickbase.b-cdn.net/content/file/308c317d260f4051ad8394dd0c0d1f02.png,11.0,2,111.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 21}, {""hasPlayed"": true, ""points"": 37}, {""hasPlayed"": true, ""points"": 178}, {""hasPlayed"": true, ""points"": 149}]",3,Bilal El Khannouss,-334142.0,35000000
12293,9,Jeremy,Arévalo,4264001.0,15.0,7.0,7.0,0.0,4191.0,108.0,2,4,https://kickbase.b-cdn.net/content/file/024720cbc2f540d19dfb555c607c7cc2.png,25.0,2,25.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Jeremy Arévalo,-241969.0,7000000
859,77,Jan,Gyamerah,6277498.0,,,,,,,0,2,https://kickbase.b-cdn.net/content/file/827076634785457f9da47c79d04f475e.png,30.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Jan Gyamerah,242311.0,700000
1745,77,Amara,Condé,2946533.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/beacc1d7177e4a3aaca05f6131ead92c.png,6.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",3,Amara Condé,-118898.0,900000
2495,77,Tim,Boss,5610571.0,,,,,,,0,1,https://kickbase.b-cdn.net/content/file/e2e06a91e80c46e39c764afdfdf69bef.png,28.0,1,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Tim Boss,64315.0,200000
2708,77,Jason,Ceka,3024629.0,,,,,,,0,3,https://kickbase.b-cdn.net/content/file/38e13ad8808a4053996bae71d27d8756.png,11.0,2,,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",5,Jason Ceka,-145883.0,800000
