provider,canonical_team,kbstats_name,provider_player_id,provider_player_name,created_at
ligainsider,paderborn,Albert Frank Millgramm,38879,Albert Millgramm,2026-08-18T23:06:10+02:00
ligainsider,bremen,Salim Amani Musah,37144,Salim Musah,2026-08-18T23:07:02+02:00
ligainsider,schalke,Éric Dina Ebimbe,26881,Junior Dina Ebimbe,2026-08-18T23:08:17+02:00
ligainsider,stuttgart,Jeff Chabot,12583,Julian Chabot,2026-08-19T09:19:24+02:00
ligainsider,leipzig,Rômulo,38565,Romulo Cardoso,2026-08-19T09:19:26+02:00
ligainsider,bremen,Niclas Füllkrug,1867,Niclas Fuellkrug,2026-08-23T00:52:59+02:00
ligainsider,frankfurt,Ayoube Amaimouni,38710,Ayoube Amaimouni Echghouyab,2026-08-23T18:00:58+02:00
rotowire,mainz,Jae-Sung Lee,32009,Lee Jae-Sung,2026-08-23T18:01:22+02:00
rotowire,paderborn,Albert Frank Millgramm,48815,Albert Millgramm,2026-08-23T20:56:05+02:00
ligainsider,frankfurt,Mario Götze,501,Mario Goetze,2026-08-25T12:10:24+02:00
rotowire,frankfurt,Ayoube Amaimouni,47580,Ayoube Amaimouni-Echghouyab,2026-08-25T12:10:34+02:00
rotowire,hamburg,Shafiq Nandja,48225,Shafiq Bello Nandja,2026-08-27T12:47:28+02:00
