player_id,games_played,starts,total_points,total_playtime_seconds,snapshot_timestamp,source_snapshot_filename
11253,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
12317,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
72,1.0,1.0,47.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
78,1.0,0.0,43.0,1881.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
663,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2746,1.0,1.0,135.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2783,1.0,1.0,-26.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
2846,1.0,1.0,74.0,4013.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3754,1.0,1.0,-6.0,3399.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
3759,1.0,1.0,117.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4199,1.0,1.0,98.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4318,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
4563,1.0,1.0,30.0,3389.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6061,1.0,1.0,107.0,5894.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6174,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
6745,1.0,0.0,43.0,667.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7269,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
7963,1.0,0.0,50.0,2505.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8225,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
8374,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11181,0.0,0.0,0.0,0.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
11513,1.0,0.0,109.0,2494.0,2026-08-31T09:17:15+00:00,kbstats_players_20260831_111715_+0200.csv
